strategy,month,failures,sla_breaches,cost
Reactive,1,31,31,87350.0
Reactive,2,48,51,122800.0
Reactive,3,40,39,88000.0
Reactive,4,54,46,111900.0
Reactive,5,51,40,96350.0
Reactive,6,51,46,107350.0
Reactive,7,49,38,96650.0
Reactive,8,46,34,84100.0
Reactive,9,44,27,74400.0
Reactive,10,42,29,79700.0
Reactive,11,46,35,93100.0
Reactive,12,66,49,126100.0
Preventive,1,20,20,110480.0
Preventive,2,28,29,125120.0
Preventive,3,30,27,117880.0
Preventive,4,21,16,97620.0
Preventive,5,25,20,104260.0
Preventive,6,31,25,113780.0
Preventive,7,26,20,102520.0
Preventive,8,24,18,98760.0
Preventive,9,21,13,93740.0
Preventive,10,26,17,101880.0
Preventive,11,22,15,91240.0
Preventive,12,20,17,95760.0
Risk_SLA,1,8,7,66050.0
Risk_SLA,2,12,8,70450.0
Risk_SLA,3,5,5,60250.0
Risk_SLA,4,12,10,72450.0
Risk_SLA,5,11,9,68850.0
Risk_SLA,6,15,8,67250.0
Risk_SLA,7,13,9,72050.0
Risk_SLA,8,11,4,61850.0
Risk_SLA,9,9,7,62650.0
Risk_SLA,10,23,13,85050.0
Risk_SLA,11,14,6,64650.0
Risk_SLA,12,11,6,61850.0
